,text,label,preprocessed_text
2569,It will drive you barking mad!  ,negative,drive barking mad
1620,Echo Problem....Very unsatisfactory,negative,echo problem very unsatisfactory
1413,Will not be back.,negative,not be back
2238,The Jamaican mojitos are delicious.,positive,jamaican mojitos be delicious
650,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",negative,movie be bore sometimes find occupied peak paper instead of watch never happen columbo movie before
931,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",positive,first glance be lovely bakery cafe nice ambiance clean friendly staff
742,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",negative,experience be terrible be fourth bluetooth headset be much comfortable last jabra which hat
1471,Voice recognition is tremendous!,positive,voice recognition be tremendous
509,The replacement died in a few weeks.,negative,replacement die few week
527,"After waiting an hour and being seated, I was not in the greatest of moods.",negative,wait hour be seat be not great of mood
1683,"This movie suffered because of the writing, it needed more suspense.  ",negative,movie suffer of write need suspense
1619,"Saw the movie today and thought it was a good effort, good messages for kids.  ",positive,saw movie today think be good effort good message kid
2044,The problem was the script.  ,negative,problem be script
2519,I love the ringtones because they are so upbeat!,positive,love ringtones be upbeat
2512,Low Quality.,negative,low quality
2427,We could not believe how dirty the oysters were!,negative,could not believe dirty oyster be
769,Thank you for wasting my money.,negative,thank waste money
710,Items stated as included from the description ARE NOT INCLUDED.,negative,item state included description be not include
946,All in all I think it was a good investment.,positive,think be good investment
883,The cocktails are all handmade and delicious.,positive,cocktail be handmade delicious
2125,An excellent performance from Ms.  ,positive,excellent performance m
2433,"On a positive note, our server was very attentive and provided great service.",positive,positive note server be very attentive provide great service
1051,Reception is terrible and full of static.,negative,reception be terrible full of static
449,"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",positive,initially local site film be film buffalo intrigue me
2149,"This item worked great, but it broke after 6 months of use.",negative,item work great break six month of use
1130,The majority of the Logitech earbud headsets failed.,negative,majority of logitech earbud headset fail
360,"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",negative,bipolarity of ruthless thug one minute ruthless killer next minute love s diaper commercial be completely unconvincing
894,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",positive,movie show lot of florida be best make look very appeal
2216,"As for the service, I thought it was good.",positive,service thought be good
1909,Works great.,positive,work great
2282,It Was So Cool.  ,positive,be cool
2228,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",negative,scene oh so mature neighbour girl be misplace
1281,The nachos are a MUST HAVE!,positive,nacho be must have
70,It was equally awful.,negative,be equally awful
2542,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",negative,product be clearly not ready prime time do not care cool look cannot tell call be come be worthless
2468,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",positive,lordy khao soi be dish be not be miss curry lover
1981,This place lacked style!!,negative,place lack style
1535,I think this restaurant suffers from not trying hard enough.,negative,think restaurant suffers not try hard enough
313,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",negative,three different occasion ask well do medium well three time get bloody piece of meat plate
780,I found the product to be easy to set up and use.,positive,find product be easy set use
2492,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,negative,two be seperated mere five ft start notice excessive static garble sound headset
776,"But it is entertaining, nonetheless.  ",positive,be entertain nonetheless
829,This is definitely a cult classic well worth viewing and sharing with others.  ,positive,be definitely cult classic well worth view share others
2586,in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,negative,addition feel amp look phone be lightweight cheap plastic
361,We've tried to like this place but after 10+ times I think we're done with them.,negative,have try like place ten time think be do them
1246,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,negative,wait thirty minute be seat although be eight vacant table be folk wait
1311,I liked the patio and the service was outstanding.,positive,like patio service be outstanding
1580,I would not recommend this place.,negative,would not recommend place
55,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",negative,however bt headset be currently not good real time game like first person shooter since audio delay mess up
340,"I didn't want the clip going over the top of my ear, causing discomfort.",negative,do not want clip go top of ear cause discomfort
557,Generous portions and great taste.,positive,generous portion great taste
1275,"Comfortable, Nice Range, Good Battery Life.",positive,comfortable nice range good battery life
677,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",negative,chipolte ranch dip sause be tasteless seem thin water no heat
909,Doesn't hold charge.,negative,do not hold charge
825,"I'd rather eat airline food, seriously.",negative,would rather eat airline food seriously
1798,There is nothing privileged about working/eating there.,negative,be nothing privileged work eating there
777,I bought this to use with my Kindle Fire and absolutely loved it!,positive,buy use kindle fire absolutely love it
1458,Highly entertaining at all angles.  ,positive,highly entertaining angle
2255,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",positive,aailiyah be pretty good akasha place compel her first entrance mini dance scene
1441,I wouldn't return.,negative,would not return
906,I give it 2 thumbs down,negative,give two thumb
448,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",negative,be still bad actress repeat robotic face move of picture
935,It's been my choice headset for years.Great sound; good volume; good noise cancellation.,positive,be be choice headset year great sound good volume good noise cancellation
2387,Essentially you can forget Microsoft's tech support.,negative,essentially can forget microsoft s tech support
617,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",positive,level five spicy be perfect spice do not over whelm soup
1383,They have a really nice atmosphere.,positive,have really nice atmosphere
397,disappointing.,negative,disappoint
1314,"Then I exchanged for the same phone, even that had the same problem.",negative,exchange phone even have problem
508,Loved the casting of Jimmy Buffet as the science teacher.  ,positive,love casting of jimmy buffet science teacher
283,"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  ",positive,watch two sunday ago march 20th two thousand five begin really enjoy time tap entire thing
614,"Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.  ",positive,hayao miyazaki s late eighth film studio ghibili gake no ue no ponyo ponyo cliff sea be wonderfully fun imaginative look childhood
1858,The text messaging feature is really tricky to use.,negative,text messaging feature be really tricky use
1025,The lead man is charisma-free.  ,negative,lead man be charisma free
2632,"Hackneyed writing, certainly, but made even worse by the bad directing.  ",negative,hackneyed write certainly make even bad bad directing
1613,"Oh yeah, and the storyline was pathetic too.  ",negative,oh yeah storyline be pathetic too
350,Lousy product.,negative,lousy product
2742,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,positive,battery be work well replacement original come phone two year ago
929,Good product - incredible value.,positive,good product incredible value
709,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",negative,full of unconvincing cardboard character be blandly write edward chodorov also produce be surprisingly directed jean negulesco one would expect great deal more
1074,Not a good bargain.,negative,not good bargain
155,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,negative,have buy nokia cell phone few week ago be nightmare
1431,"The acting, as you'd expect from this cast, is top notch.  ",positive,act would expect cast be top notch
419,Fantastic food!,positive,fantastic food
1353,High-quality chicken on the chicken Caesar salad.,positive,high quality chicken chicken caesar salad
2333,I will be back many times soon.,positive,be back many time soon
2497,Everything about it is fine and reasonable for the price i.e.,positive,everything be fine reasonable price i e
2064,"Nice case, feels good in your hands.",positive,nice case feel good hand
1247,"This was a poor remake of ""My Best Friends Wedding"".  ",negative,be poor remake of my best friend wed
2339,Leopard Print is wonderfully wild!.,positive,leopard print be wonderfully wild
1175,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",positive,lovely little thriller hitchcock lot of nice shenanigan surround murder spy kidnap child nasty church foreign plot random taxidermist
219,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,positive,steak be amaze rge fillet relleno be best seafood plate have ever have
422,It was a waste of my money.,negative,be waste of money
2196,I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,positive,totally absolutely recommend movie anyone like good wholesome family movie be exactly be
2501,This one is simply a disappointment.,negative,one be simply disappointment
2352,"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",positive,movie be excellent angel be beautiful scamp be adorable his little yelps he scar and funny part be when scamp be catch curtain angel scamp be sing i have never have feeling before i totally recommend movie it come out special edition june twenty the cover have scamp garbage can angel underneath lid
1860,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,positive,boyfriend try mediterranean chicken salad fell love
381,Star Trek V The final Frontier is the worst in the series.  ,negative,star trek v final frontier be bad series
1892,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",negative,do not find it too bad unit come one earpad only i would not recommend anyone
470,Now I am getting angry and I want my damn pho.,negative,be get angry want damn pho
2469,It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  ,positive,present idyllic yet serious portrayal of ups down of character life
120,"Also, I feel like the chips are bought, not made in house.",negative,also feel like chip be buy not make house
295,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,positive,share general loewenhielm s exquisite joy partaking of cailles en sarcophage even though be watch movie do wish small sample savor
1510,What a piece of junk.. I lose more calls on this phone.,negative,piece of junk lose call phone
1549,Everything was fresh and delicious!,positive,everything be fresh delicious
982,I wasted my little money with this earpiece.,negative,waste little money earpiece
312,Must have been an off night at this place.,negative,must have be night place
869,Great case and price!,positive,great case price
464,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",positive,put gem any movie term of screenplay cinematography act post production edit direct any aspect of film making
1289,"Lastly, the mozzarella sticks, they were the best thing we ordered.",positive,lastly mozzarella stick be best thing order
1861,Don't buy it.,negative,do not buy it
1901,The sound quality is excellent as well.,positive,sound quality be excellent well
2012,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",negative,main thing do not enjoy be crowd be of old crowd around mid 30 up
425,I don't think you will be disappointed.  ,positive,do not think be disappoint
2188,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",negative,last le 3o minute actually try use phone my wife have phone problem
368,The plastic breaks really easy on this clip.,negative,plastic break really easy clip
1715,the cast was great.  ,positive,cast be great
102,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,negative,ordered appetizer take forty minute pizza another ten minute
241,The staff are also very friendly and efficient.,positive,staff be also very friendly efficient
1867,Highly recommended.,positive,highly recommended
1757,The directing is sloppy at best.  ,negative,directing be sloppy best
1092,"The acting is terrible, and the writing is worse.  ",negative,acting be terrible writing be bad
2669,The selection on the menu was great and so were the prices.,positive,selection menu be great be price
623,"The mic there is a joke, and the volume is quite low.",negative,mic be joke volume be quite low
676,I've had better bagels from the grocery store.,negative,have have good bagel grocery store
2275,The file browser offers all the options that one needs.Handsfree is great.,positive,file browser offer option one need handsfree be great
2603,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",negative,bad day not have very low tolerance rude customer service people be job be nice polite wash dish otherwise
2707,Give this one a look.  ,positive,give one look
699,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",negative,have have well not dedicate boba tea spot even jenni pho
1491,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,negative,thing be not too crazy be guacamole do not like pureed
1270,This place is horrible and way overpriced.,negative,place be horrible way overprice
306,$50 Down the drain.,negative,fifty drain
2262,This is some seriously good pizza and I'm an expert/connisseur on the topic.,positive,be seriously good pizza be expert connisseur topic
2737,"The look of it is very sharp and the screen is nice and clear, with great graphics.",positive,look of be very sharp screen be nice clear great graphic
2579,The Jabra EarGels fit my ears very well.,positive,jabra eargels fit ear very well
1832,Keep up the good work Amazon!!,positive,keep good work amazon
1075,"If this premise sound stupid, that's because it is.  ",negative,premise sound stupid be be
2529,Awsome Device Works Great!!.,positive,awsome device work great
994,The Macarons here are insanely good.,positive,macarons be insanely good
2138,"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",negative,unfortunately cover girl be example of hollywood use exploit woman financial gain
739,It's a case of 'so bad it is laughable'.  ,negative,be case of so bad be laughable
666,The steaks are all well trimmed and also perfectly cooked.,positive,steak be well trim also perfectly cook
2024,"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",negative,be terribly disappointed film would receive many award accolade especially be far deserve work of film out there
2483,Great Pizza and Salads!,positive,great pizza salad
2041,Happy so far!.,positive,happy far
1844,"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",negative,almost everyone involved must be return school acting be utterly predictable bad script be pile of garbage round
1201,Good case!.,positive,good case
1842,"This movie is so mind-bendingly awful, it couldn't have even been created.  ",negative,movie be mind bendingly awful could not have even be create
2308,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,negative,act whole cast could be put scale balance perfectly overact underact
1888,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",negative,service be little slow consider be serve three people server food be come slow pace
2535,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,negative,surely do not know make coherent action movie screenwriter of air force one be oblige write script big sum of money
654,Final Word: This Show is a real torture!!  ,negative,final word show be real torture
859,"Love the margaritas, too!",positive,love margarita too
7,Nice ambiance.,positive,nice ambiance
1583,These are the nicest restaurant owners I've ever come across.,positive,be nice restaurant owner have ever come across
1686,I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,positive,have say film be excellently produce tops rating typical sci fi film
999,"Despite the pans of reviewers, I liked this movie.  ",positive,despite pan of reviewer like movie
1750,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,positive,eargels channel sound directly ear seem increase sound volume clarity
213,Judith Light is one of my favorite actresses and I think she does a superb job in this film!  ,positive,judith light be one of favorite actress think do superb job film
457,Don't make the same mistake that I did and please don't buy this phone.,negative,do not make mistake do please do not buy phone
400,If you are reading this please don't go there.,negative,be read please do not go there
1611,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,negative,people could not hear talk have pull out earphone talk phone
2408,This is just a great movie.  ,positive,be great movie
851,We are sending it back.,negative,be send back
2611,"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",positive,liked movie like matrix and good yet sequels think appreciate thought provoke mindblowing experience film give you
607,The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.  ,positive,art style have appearance of crayon pencil drawing be wonderfully colorful fanciful
1763,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",negative,very very very slow move aimless movie distress drift young man
1105,Very poor service.,negative,very poor service
129,(very serious spoilers) this movie was a huge disappointment.  ,negative,very serious spoiler movie be huge disappointment
923,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",positive,food be very good enjoy every mouthful enjoyable relaxed venue couple small family group etc
366,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",negative,order double cheeseburger get single patty be fall apart picture upload yeah still suck
586,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",positive,have verizon lg phone work well together good reception range exceed twenty foot line of sight
1035,Great software for Motorolas.,positive,great software motorolas
16,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,positive,movie do excellent job of reveal complexity of task incredible challenge face south africa
1971,I wish I could return the unit and get back my money.,negative,wish could return unit get back money
475,I like Steiners because it's dark and it feels like a bar.,positive,like steiner be dark feel like bar
844,"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",positive,easily none cartoon make laugh tender way before get dark sitcom orient teenager
269,definitely will come back here again.,positive,definitely come back again
2723,Service was good and the company was better!,positive,service be good company be good
1070,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",positive,side be delish mixed mushroom yukon gold puree white corn beateous
1330,"Great food and service, huge portions and they give a military discount.",positive,great food service huge portion give military discount
986,AVOID THIS ESTABLISHMENT!,negative,avoid establishment
1677,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,negative,be one of bad sandra bullock movie since speed two not quite bad
1392,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",negative,yes be simplify thing sake of brevity really be core of problem film have too much go without any real fulfilling explanation
418,It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,positive,be still wild stuff though be highly recommended fan of giallo cinema
502,The service was terrible though.,negative,service be terrible though
54,Great place fo take out or eat in.,positive,great place fo take out eat in
945,"sucked, most of the stuff does not work with my phone.",negative,suck of stuff do not work phone
2052,"Try them in the airport to experience some tasty food and speedy, friendly service.",positive,try airport experience tasty food speedy friendly service
1063,A lot of websites have been rating this a very good phone and so do I.,positive,lot of website have be rating very good phone do i
1976,poor voice clarity.,negative,poor voice clarity
132,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",positive,perfect someone me like beer ice cold case even colder
1569,"Looks good in the picture, but this case was a huge disappointment!!",negative,looks good picture case be huge disappointment
1567,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",negative,do go see movie bring pillow girlfriend boyfriend keep occupy out
861,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",positive,be say phone camera be very nice many cool effect play with video be decent well
536,"For people who are first timers in film making, I think they did an excellent job!!  ",positive,people be first timer film make think do excellent job
606,Fantastic earphones.,positive,fantastic earphone
2702,This if the first movie I've given a 10 to in years.  ,positive,first movie have give ten year
1637,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",positive,work fine motorola three hundred twenty five cellphone lot well wear out battery do
344,"Instead, we got a bore fest about a whiny, spoiled brat babysitting.  ",negative,instead get bore fest whiny spoil brat babysitting
2599,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative,shower area be outside can rinse not take full shower unless do not mind be nude everyone see
6,Plug was the wrong size.,negative,plug be wrong size
165,This is one of Peter Watkins most accessible films.  ,positive,be one of peter watkins accessible film
727,Perfect for the PS3.,positive,perfect ps3
1164,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",negative,and finally that get end would have be great have be handle competent people not jerry falwell
1512,Good beer & drink selection and good food selection.,positive,good beer drink selection good food selection
84,It was a riot to see Hugo Weaving play a sex-obsessed gay real estate salesman who uses his clients' houses for his trysts with the flaming Darren (Tom Hollander).  ,positive,be riot see hugo weave play sex obsess gay real estate salesman use client house tryst flame darren tom hollander
2353,"I've only had my bluetooth for a few weeks, but I really like it.",positive,have have bluetooth few week really like it
218,It only recognizes the Phone as its storage device.,negative,recognize phone storage device
455,Fantastic service here.,positive,fantastic service here
880,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",negative,food be barely lukewarm must have be sit wait server bring out u
1576,I advise you to look out for it.  ,positive,advise look out it
1589,Everything from acting to cinematography was solid.  ,positive,everything act cinematography be solid
1012,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",negative,reach bottom row be uncomfortable send end key be not expect be three
2544,From here on the Widmark character turns unintentionally comical!  ,negative,widmark character turn unintentionally comical
2140,I bought two of them and neither will charge.,negative,buy two of neither charge
1664,"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",positive,learn lot real inside emotion of people movie lot movie business itself
252,It's NOT hard to make a decent hamburger.,negative,be not hard make decent hamburger
1272,Great Earpiece.,positive,great earpiece
480,CONCLUSION: Very filling meals.,positive,conclusion very filling meal
37,It has kept up very well.,positive,have keep very well
1753,Cant say enough good things about this place.,positive,cannot say enough good thing place
963,I just got bored watching Jessice Lange take her clothes off!  ,negative,get bored watching jessice lange take clothes off
297,Truly awful.,negative,truly awful
2298,I have had problems wit hit dropping signal and more.,negative,have have problem wit hit drop signal more
2319,Improper description.... I had to return it.,negative,improper description have return it
747,Google mediocre and I imagine Smashburger will pop up.,negative,google mediocre imagine smashburger pop up
1113,"The chips and salsa were really good, the salsa was very fresh.",positive,chip salsa be really good salsa be very fresh
404,One of the most disappointing aspects is the lack of notable gore.  ,negative,one of disappointing aspect be lack of notable gore
918,"Overall, the film is interesting and thought-provoking.  ",positive,overall film be interest think provoke
971,I believe that Pitch Black was done well.  ,positive,believe pitch black be do well
2672,This is probably the most irritating show I have ever seen in my entire life.  ,negative,be probably irritate show have ever see entire life
499,Adapter does not provide enough charging current.,negative,adapter do not provide enough charge current
2683,The food was excellent and service was very good.,positive,food be excellent service be very good
2103,I recently tried Caballero's and I have been back every week since!,positive,recently try caballero s have be back every week since
1355,This was my first time and I can't wait until the next.,positive,be first time cannot wait next
427,This device is great in several situations:1.),positive,device be great several situation one
1461,Protects the phone on all sides.,positive,protects phone side
528,very tough and very short on flavor!,negative,very tough very short flavor
657,The chicken wings contained the driest chicken meat I have ever eaten.,negative,chicken wing contain dry chicken meat have ever eat
36,As I said above....PRETTY USELESS!,negative,say above pretty useless
1014,What a waste of money and time!.,negative,waste of money time
2168,Very Displeased.,negative,very displeased
101,No buyers remorse on this one!.,negative,no buyer remorse one
1873,lightweight and works well.,positive,lightweight work well
31,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",positive,stopped place madison ironman very friendly kind staff
445,"This place is not quality sushi, it is not a quality restaurant.",negative,place be not quality sushi be not quality restaurant
2051,"It was extremely ""crumby"" and pretty tasteless.",negative,be extremely crumby pretty tasteless
293,Comfort for our whole family.,positive,comfort whole family
1649,It was horrendous.  ,negative,be horrendous
110,We won't be going back anytime soon!,negative,not be go back anytime soon
2368,We watched our waiter pay a lot more attention to other tables and ignore us.,negative,watched waiter pay lot attention table ignore u
1301,Don't waste your $$$ on this one.,negative,do not waste one
82,"I could barely stomach the meal, but didn't complain because it was a business lunch.",negative,could barely stomach meal do not complain be business lunch
137,It's a great place and I highly recommend it.,positive,be great place highly recommend it
220,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",positive,span of hour have two people exclaim whoa be new phone tv
2197,This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,negative,show be make american be too stupid full hatred cliche be admit elsewhere
1714,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",negative,keep look time have soon become thirty five minute yet still no food
1890,The Buffet at Bellagio was far from what I anticipated.,negative,buffet bellagio be far anticipated
1203,The movie was very interesting from beginning to the end.  ,positive,movie be very interesting begin end
2466,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive,be loud glad say plantronics five hundred ten maintains flawless connection cell no static normal use
2517,After two I felt disgusting.,negative,two felt disgust
279,Great time - family dinner on a Sunday night.,positive,great time family dinner sunday night
595,Please dont waste your money.,negative,please do not waste money
2601,"Best Buffet in town, for the price you cannot beat it.",positive,best buffet town price cannot beat it
442,Battery has no life.,negative,battery have no life
612,Used and dirty.,negative,use dirty
1133,"Sounds good reasonably priced and effective, Its that simple !",positive,sound good reasonably price effective simple
548,"There was so much hype over this phone that I assumed it was the best, my mistake.",negative,be much hype phone assume be best mistake
1182,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",positive,be prove dead wrong sushi bar not quality be great service be fast food impeccable
1935,"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",positive,highly recommend movie anyone interested art poetry theater politics japanese history
560,I'm happy about this purchase- good quality and low price.,positive,be happy purchase good quality low price
1516,Very good stuff for the price.,positive,very good stuff price
1199,walked in and the place smelled like an old grease trap and only 2 others there eating.,negative,walked place smell like old grease trap two others eat
1060,") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  ",positive,make story different be terrific production value faultless photography composition edit terrific casting underappreciated brian keith play bully teddy vivid history
863,There was a warm feeling with the service and I felt like their guest for a special treat.,positive,be warm feeling service felt like guest special treat
1668,20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,negative,20th century fox s road house one thousand nine hundred forty eight be not quite silly noir be implausible unmitigated bore of movie
2563,The phone takes FOREVER to charge like 2 to 5 hours literally.,negative,phone take forever charge like two five hour literally
29,It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,negative,be sort of pap be screen afternoon punish unemployed not have job
175,Never got it!!!!!,negative,never get it
652,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,negative,order sony ericsson w810i think work that be first use it
382,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",negative,unfortunately inexperience of direction meant scene scene pass little way of dramatic tension conflict
951,It fits my ear well and is comfortable on.,positive,fit ear well be comfortable on
1610,very disappointed.,negative,very disappointed
2297,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",negative,do not know big deal be place not be back ya all
2127,The holster that arrived did not match the photo in the ad.,negative,holster arrive do not match photo ad
517,You get what you pay for I guess.,negative,get pay guess
960,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",negative,unfortunately not recharge iphone 4 despite connect multiple power source imac external battery wall outlet etc
646,"Give it a try, you will be happy you did.",positive,give try be happy do
2251,Its well-designed and very sharp -- the blue is a very nice color.,positive,well design very sharp blue be very nice color
271,This is one of the best movies out there that shows such strong sibling bond for each other.  ,positive,be one of best movie out show strong sibling bond other
2202,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,negative,bland not like place number of reason do not want waste time bad review leave that
2717,"Needless to say, we will never be back here again.",negative,needless say never be back again
1730,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,positive,have absolutely no problem headset link eight thousand five hundred thirty blackberry curve
2317,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",negative,place treo case not be not snug be lot of extra room side
2638,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",negative,drive thru mean do not want wait around half hour food somehow end go make u wait wait
389,I had to walk out of the theatre for a few minutes just to get some relief!  ,negative,have walk out of theatre few minute get relief
961,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",negative,do not understand garbage get shelf of movie store be not even real movie
131,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",negative,be sit vehicle cradle belt headset lose signal
895,An hour and a half I wish I could bring back.  ,negative,hour half wish could bring back
1398,Omelets are to die for!,positive,omelet be die for
594,Waitress was a little slow in service.,negative,waitress be little slow service
1612,For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,positive,reader have already see one of miyazaki s film be still top form make another worthwhile experience
193,And I really did find them funny.  ,positive,really do find funny
2219,Overall I wasn't very impressed with Noca.,negative,overall be not very impressed noca
828,Don't do it!!!!,negative,do not do it
2224,I had the mac salad and it was pretty bland so I will not be getting that again.,negative,have mac salad be pretty bland not be get again
2142,Worst software ever used.... If I could give this zero stars I would.,negative,bad software ever use could give zero star would
1334,Worst food/service I've had in a while.,negative,worst food service have have while
231,Great price also!,positive,great price also
966,The service here leaves a lot to be desired.,negative,service leave lot be desire
2031,"The fries were not hot, and neither was my burger.",negative,fry be not hot neither be burger
775,Great for iPODs too.,positive,great ipod too
1996,The good cinematography also makes her and Monica Bellucci look very beautiful.  ,positive,good cinematography also make monica bellucci look very beautiful
